word	MEANP	AOA	IMAG	FAM	CONC	MEANC
INOCULATION		531	513	364	470	
SPECIAL			305	607		
UNDERWORLD	576		448	399	425	
VANE			377	411	400	310
WING			584	510	595	416
CRAVEN		608	262	288	295	
ORIGINAL			324	525		
WRITE			548	560	446	492
APPENDIX				493		
LIVER		353	571	481	617	387
OUTPUT			324	487		
TOLD			286	531	318	329
OATH		408	443	402	331	
KENNEL		322	580	449	611	
AUDITORIUM			573	519	552	380
SURF			601	526	527	435
METROPOLIS	628		572	398	504	
SURE			285	552	281	378
PAIN			502	569	426	557
GRACE			441	478	314	389
PAIL			508	453	538	354
KEVEL			231	112	297	197
SUPPORT			359	556		
KNEW			267	557	291	305
OFFENSIVE			378	521		
MOUSSE			439	363	492	290
SATISFACTION		466	478	544	305	
CARROT			577	539	622	425
PRINCIPLE		533	305	496	245	
WITLESS			334	321		
PAIR			480	544	377	510
KNEE		231	597	599	593	
ATHLETICS	692		551	548	437	
CINQUE			239	161	250	205
HE			452	604	399	448
FIRMAMENT	496		443	231	430	
POLLEN			526	488	584	421
VERSATILE			327	425		
HEAVEN	652	272	448	536	305	
QUIETUDE		642	286	220	267	
WIDE			455	569	348	520
PETAL			508	466	586	397
RITUAL	512		474	403	377	
TERRIBLE			422	605		
LITTLE			502	594	378	546
REGULATION			345	504	363	457
PRODUCTION		486	347	545	318	
AUNT		233	567	554	564	498
ZEBRA				333		
DICTATION		494	432	432	356	
GOD			461	567	365	547
PUDDLE			562	521	604	430
GRUDGE			373	510	313	456
GRACIOUS			397	433		
ETHER		625	436	405	511	293
CHEERFUL			475	537	362	500
SEAWEED			590	478	593	384
INFORMATION		397	364	590	388	
REPEAT		367	351	602	331	
ETIQUETTE		619	388	332	252	
CIDER		431	626	507	626	
OX		329	548	364	633	
AGILITY	575		464	397	327	
CANARY			533	411	577	382
COURSE			391	564	389	428
ALLOTMENT		486	470	420	502	
ANKLE	682	264	613	543	608	
CAPE			566	521	581	427
PLAYING			464	582	379	526
DAIS			276	168	333	203
SIZE			415	566	354	466
FESTIVITY	640		520	411	427	
WARN			359	491	315	377
BEWILDERMENT		522	407	421	270	
DIAMOND		339	623	512	610	470
WHEAT		386	577	510	594	447
ASPHALT			569	488	583	385
THING			358	587	350	479
GENTLE			422	570	322	518
BRED			387	423	308	387
HEROISM	584		432	438	283	
PAYMENT		439	472	527	432	
WOOD		269	577	574	606	505
SENSE		336	368	583	316	484
UPRIGHT		436	453	480	348	411
WOOL		247	586	540	608	
BEQUEST		600	294	316	349	
ACCOMMODATION		536	466	533	464	
MATH			487	548	386	425
GREATLY			295	570		
MALADY	600		370	287	379	
SUE			449	528	432	395
HUNT			527	523	416	457
EATING			536	612	485	552
PARDON		342	355	532	307	413
SUN		181	639	635	617	520
SUM		278	465	537	379	429
TEETH			611	593	618	500
DEER		281	624	509	631	477
BENEFICIAL			362	496	251	423
DEEP			498	542	400	464
BRACELET			606	547	602	461
HYGIENE		481	459	493	349	
GAME		242	521	574	477	503
HUZZA		667	156	131	349	
FRENZY		506	450	409	303	
TROOP		406	498	470	509	456
CLEMENCY	394		334	233	264	
MIRAGE	563		489	442	377	390
DEED	532		390	475	410	
GRASS			602	587	599	512
BETTERMENT		569	310	293	270	
MOP				443		
OCCUPATION		489	375	529	381	
BROOM			608	547	613	444
FIXED			341	573		
HANDKERCHIEF		289	583	551	618	
HAPPILY			410	550		
TEA			599	572	609	449
PRIOR			274	444		
TWEEZER			587	496	540	356
IGNORANCE	400		386	558	249	
HARBOUR		319	597	512	603	
LEVITY		631	321	314	297	
PIPE	620		598	535	602	465
SLOE			276	185	300	202
SHAPE		303	471	575	452	489
WEATHER		292	537	623	439	
PROXY	484		334	350	365	327
PROMISED			298	566		
OFFEND			372	498	321	454
ARRAY	417		365	383	371	
INDIFFERENT			290	502	253	387
AIRSHIP		406	545	332	585	
CORD	600		549	477	564	381
MERCY	520		373	460	239	
WAFER			484	430	536	370
MUZZLE		461	513	369	585	
CORN	696		601	548	576	428
LICE	656		532	397	543	386
SLAP			542	521	511	475
CORK			631	544	608	429
HUSH		246	467	415	396	
MILEAGE	672		460	558	421	
RENT		425	469	547	437	462
PRESIDENT		458	572	538	526	516
CONSEQUENCE		514	299	502	260	
FRESH			453	576		
PROBLEM		367	411	596	360	482
DEW		331	559	427	578	
BORDER		417	453	489	444	
SPARK			539	505	526	449
PLENTIFUL			408	518	317	457
WOLF			610	537	595	455
ENDEAVOUR		531	310	399	280	
ZONE		478	432	456	392	389
ALGEBRA	672		510	483	453	
VIAL			424	371	485	330
VICE		517	413	457	399	422
SOLUTION		506	391	548	388	
ANCHOR			561	458	595	390
SIEGE		503	445	345	417	
AMBUSH				436		
SAFETY	576	339	397	556	323	405
CAUCUS			366	320	402	311
PENICILLIN			501	494	590	455
OUT			330	608	249	430
BRA			624	575	629	515
CALCULUS		689	435	364	331	
FLOAT			525	553	451	445
EXCLUSION	532		326	354	293	
CANDIDATE	576	578	452	488	489	
SHEPHERD		275	600	435	598	
AGILE			454	432	356	436
BEETLE			640	503	619	444
CHARACTER		464	372	551	365	
NUMBER		239	489	599	395	473
PREFIX			353	407	370	337
DISC		447	575	466	553	
HYPOTHESIS	536	644	315	459	261	
DISRUPTIVE			367	453	318	433
BACKGROUND	588	400	427	540	383	
LOGIC		550	294	504	250	
WHY			251	589	267	282
ACTUALITY		586	213	361	247	
EMBRYO				356		
JUSTIFICATION		603	326	411	219	
ANGEL		242	554	470	399	
VOTER			486	519	548	450
FLUTE			581	496	587	436
SLEAVE			381	308	421	222
ALLEY			572	526	557	418
ALSO			264	552	194	333
PRAIRIE		433	569	416	575	
ARROGANT			402	407		
RAPE			565	555	472	468
CAUSTIC			317	307		
ANGER	583		488	541	315	489
PROFESSIONAL		494	383	520	379	
EAR			597	560	640	462
AVERAGE			297	579		
FAILING			419	511	297	470
EGOTISTICAL			380	366		
SHOP		236	561	615	549	518
HOG			527	528	581	452
HOE			525	489	537	356
SHOT			535	531	467	433
SHOW			424	559	402	458
RATTLE	680	261	554	448	549	
PROFESSOR	540	519	587	583	549	523
METAL	696	308	541	559	582	466
VALUE		433	289	552	260	
CHALK			601	560	634	433
HOW			230	593	195	321
HOT			551	607	507	526
NEARLY			305	611		
HOP		289	554	432	494	
QUARTER		334	531	569	509	450
SCARECROW				389		
DEBATE		564	397	459	375	
GROIN			516	486	506	370
CYNIC		619	377	465	379	
POUND		308	553	618	515	475
BRAWL		494	485	418	456	446
ADZE			256	138	283	164
EXASPERATION		578	375	419	237	
ABATEMENT		644	189	294	250	
MOUTH			613	572	568	498
CRUCIFIX		475	576	416	564	431
ULCER		517	516	423	558	
ALLEGORY	448	650	244	314	283	
POLL			488	453	429	387
CATHEDRAL			599	440	553	448
YEOMAN			371	237		
REPROVE			301	364	290	303
SOAP		222	600	594	598	471
SAUCER			544	533	606	425
MELANCHOLY			370	431	329	421
CELLAR	679	361	572	467	572	438
DEVELOP			295	558		
JITTERBUG			473	440	472	341
SPITE		442	405	459	262	
WORKHOUSE	488		419	295	549	
TEXT		486	437	511	498	
OVERCOAT		381	552	441	611	
SCISSORS			609	559	596	405
HARDWARE			576	496	560	434
OUNCE			457	565	502	459
GRISLY			437	395	346	369
PESTLE			341	209	465	241
ABANDON			395	510		
FIORD	648		551	313	574	
BEACH			667	553	612	518
LACE			506	468	545	402
ANYONE			288	605		
DIRECTION	678	381	399	562	336	
DANDRUFF			554	495	546	385
APOLOGY		406	400	510	311	
CROWD			548	523	546	515
ARTIST	665		600	547	554	528
INVOLVED			363	586		
EYRIE		556	408	270	529	
CROWN			602	531	586	463
NEVER			351	572	259	397
BEDEL			177	118	276	144
LACK			302	532	311	360
CONCRETE			564	528	562	427
OCTAGON				366		
DEPARTMENT		494	426	596	447	
BRAKE			511	551	526	437
TENNIS			634	528	574	492
AUDIT		642	253	326	371	
WHIRL		364	499	423	402	
FULL			437	594	378	448
VAN		267	572	542	606	
RACK			439	486	535	337
CORAL		434	561	425	572	337
FOAM	644		600	462	577	
WAMPUM			415	262	440	312
ROSEBUD		369	586	369	593	
LEAST			302	529	275	313
WEED			596	542	600	485
RUMBLE			494	476	407	415
DISPARITY	352		318	278	270	
CRITERION	300		250	349	261	
SAINT			394	463	458	378
THERMOMETER		389	581	481	612	443
METAPHOR				479		
PEDDLE			508	501	482	377
FEELING		339	370	612	262	
VAGUE			321	522	272	400
REBUS			201	131	299	174
CROAK			445	446	395	385
ETHICAL			278	379		
DIAL			541	566	537	430
FENCE			611	526	597	431
LAMENT			353	390	320	327
REVIEW		547	345	496	388	
VIEW			430	523	379	417
RASH			520	485	523	403
WILL			322	584	275	318
RESORT			523	523	499	469
BREEZE		351	560	511	500	
TAPE		406	573	567	564	426
USURP			262	214	260	226
ELIMINATION		547	375	441	305	
GLITTER			503	440	420	422
MAPLE			511	518	534	413
USURY		678	189	176	300	
RIDDLE			455	489	404	405
EVOLUTION			402	523	304	451
LAWYER		481	557	520	569	457
DESTROYER			508	448	513	388
UNJUST			366	504	244	434
ADVICE	539	425	352	566	291	
LIZARD			632	483	588	403
TENDER			429	510		
FUNCTIONAL			288	508	272	394
LUTE			429	287	509	316
CIRCUMSPECT				256		
UNTIDY			458	515		
CRUTCH				441		
FAIRY		242	536	471	433	393
MERMAID		322	578	391	494	342
RETROSPECT				314		
NEGLIGENT			339	423		
ELOPEMENT		600	453	356	320	
HIDE	563	256	430	515	451	388
EXACTITUDE	300		298	253	250	265
MISTER			365	529	349	348
COMPANY		436	426	573	424	
TALLY		536	308	374	331	
DOMICILE	496		435	219	456	
GRADUATION	628		577	568	416	
LUNG			576	546	569	435
RELIEF		443	432	551	303	
SLEIGH			608	531	613	455
FOUNTAIN		389	602	469	593	
AT			225	615	194	258
WASTEFUL			373	476		
PAINTER	640		565	575	568	
PENGUIN				360		
FAWN		394	565	433	581	377
CLEANNESS	564		479	433	373	
DOOR		214	599	630	606	487
INSTRUCTION				552		
SOLEMNITY		597	314	361	289	314
UNION		503	526	595	449	
CONSISTENT			298	500		
DEBUT		564	316	351	303	
FLAX			389	341	495	328
CLOWN			589	511	627	472
PLEA			347	478	308	416
DISCONNECTION	416		372	419	350	405
FLAG	654	258	607	545	606	448
INDIVIDUAL		454	440	586	474	
ENAMEL			451	476	533	323
RESULT		406	324	623	318	
SAMPLER		539	378	397	426	
COOK			504	568	502	443
BRICK		261	574	529	610	398
TWIG			555	493	559	420
ADVERSITY	506		326	360	314	
COOL			429	567	364	427
BLOW			458	528	397	402
SENDER		406	370	464	482	
SANITATION		586	447	354	391	
RINSE			465	480		
RECALL			424	526	319	425
AGENCY		553	366	420	426	
LESSEN			251	457	287	358
FILTER			490	489		
INN	661	344	578	440	592	
DETERMINATION	464		386	527	243	
BLEAK			435	466	307	415
INK	696		589	542	608	415
GEOGRAPHY		450	470	495	338	
DEMONSTRATION		506	486	537	381	
HOWLER		478	353	359	366	
SWIM		256	572	550	482	435
DAYBREAK			608	387	511	
DISASTER	656		505	548	405	
AISLE			528	503	509	400
READ			499	568	420	467
CREEPER		431	526	390	555	
APPLIANCE	664		554	493	558	
DOG		169	636	598	610	553
SLAG			373	310	426	251
HURT		219	465	579	368	530
STRAIN		422	402	533	338	
COST	624		401	589	348	437
PORTAL	563		505	252	545	
LEGALITY		572	310	458	302	421
ANALOGY		617	267	417	247	
WHOLESALER	488		409	403	539	
SUITE		458	487	453	534	362
REAP			408	441	373	389
DOT		219	556	524	530	
RIGIDITY		575	432	394	335	
DEFINITION		567	224	519	262	
RECESS			415	456		
ETERNITY			399	513	302	474
ROSIN	456		435	199	521	
UTENSIL	608		534	494	567	
EXECUTIVE		547	513	458	477	
CHRISTMAS			629	611	432	
DUKE			480	457	508	367
MOTH			577	496	550	398
SPRAY	648		559	521	514	415
CONSERVATION		583	391	476	303	
MACARONI	600	381	608	498	631	459
SPANGLE			356	344	371	262
INVOICE	628		510	434	538	
PATTERN		319	453	555	472	
MEDICINE		311	551	547	517	
WHOM			301	501	243	382
CRANE		350	562	428	606	
TRUMPET	680		628	490	608	468
WHERRY		683	156	135	378	
CAP				429		
ALLEGATION		631	291	383	272	
HUMOUR	572	417	462	555	309	
PRESENCE		456	339	514	326	402
UNDERBRUSH		575	307	251	470	
PROPHET			467	503	450	390
VINE		425	564	411	601	
CAREFREE			446	484		
OATMEAL			558	471	552	346
AUTUMN		278	622	533	421	
CAUTIOUS			363	515		
COBWEB				379		
STREAMER			504	475	518	315
IMPORT			361	511	320	402
RACKET		386	530	486	562	
REPLY			341	550		
STEM			533	513	556	445
CHILDHOOD		372	489	515	335	
ADVANCED			320	523		
PSYCHOLOGY			353	549	350	475
CARBOHYDRATE		611	461	461	419	
JOIN			340	544	292	464
MOCCASIN			573	475	611	436
HYMN			431	434	502	400
SALOON			608	381	575	
STRAIGHT			453	582	404	415
ORNAMENT		303	594	460	615	
COCKPIT			594	481	576	346
CHOOSE			299	534	308	361
POET	536		518	544	552	
JOB			470	578	432	503
PUP			624	531	544	484
MARBLE		294	605	436	611	
CAN			369	620	365	327
WARY			315	436	313	373
BAT			586	514	564	412
ABASEMENT	280		262	226	275	230
BAR	608		596	592	565	500
ITCH			486	526	488	442
DANGER		300	505	557	338	498
IMPORTANCE		406	347	575	244	
SETTLER	648		528	384	533	
MATERIAL	592	378	490	559	539	
BAY		336	570	474	580	
BAG		217	570	634	603	
ABORIGINAL			389	295	335	290
WILLING			348	537		
TRUCK	648		621	620	595	
COMPOSER		461	467	448	487	
HOBBY		361	494	518	449	
TRUCE	617		481	386	335	
FLOURISH		489	391	415	323	
ROBIN		233	615	487	637	431
WHALEBONE			470	293	567	274
HARDSHIP	548		427	480	327	
BRAVE			427	544	283	511
TORTURE		408	533	471	437	
BONUS			397	539		
SOFA			597	564	629	495
SLUSH	680		567	489	570	415
SONG		242	578	603	514	539
RHYME		253	475	480	434	
VACATION		458	559	495	414	
TOGETHER			426	603		
CELL			590	520	542	469
BUFFER		553	459	402	509	
MATE			506	553	507	502
CHIPMUNK			609	529	611	442
DITCH		292	558	511	555	416
MOUSE		242	615	520	624	426
COMMENCEMENT		550	291	407	293	
OFF			326	608	281	403
LOVING			497	573		
DIFFUSION	567	617	376	437	327	
DESIRE			368	550		
GODDESS	648		515	372	334	
DEVIL	694		546	474	274	
PAST			446	545	293	437
PROJECTOR			584	477	548	318
CANCER			567	556	615	492
SEVERANCE		603	316	354	311	
MARRIED			568	615		
FEAST		351	610	457	542	
REST		222	396	590	351	408
SHOUT			484	557	471	525
WHARF		542	463	330	573	
FLAME		261	598	551	582	489
GANG		336	535	515	492	
KING			585	522	559	495
ROTATION		494	448	470	366	
VOCATION	612		404	458	349	
RELINQUISH			337	419	289	380
SHUTTER		389	533	398	562	
CHARTER	489		406	402	466	
LANCER			413	357	504	284
QUALITY	552		349	560	274	
SEEDLING			451	323		
DISQUIET		617	305	304	270	
COFFIN			606	531	595	453
ALKALI		633	432	391	437	
SMOTHER			413	477	377	367
EDGE		308	495	569	465	402
HEALTH	639	400	432	577	372	503
COAT		197	572	610	601	455
SAVORY			446	406	373	383
CONJUNCTION			361	460	288	353
CORNICE		653	302	252	490	
INTENSE			340	490	361	432
POWDER			524	521	513	377
ASYMPTOTE				281		
LIE		250	385	548	357	447
MAYBE			222	598		
ATTEMPT		392	302	558	313	
LESS			286	541	266	305
PRIME			386	492	360	475
CINNAMON			571	515	599	380
MINNOW		397	554	408	621	420
OBELISK				131		
SQUIB			390	283	402	234
REFEREE			564	534	554	465
LIP	532		619	568	590	
FILE			442	504	480	378
ROUTINE			341	523		
CAUL			188		273	138
THE			209	625	237	212
MICA		626	397	253	474	
FILL			415	521	372	372
GRANULAR			504	423	450	313
ALUMINIUM		514	505	453	600	
DEBT			384	494	416	437
EQUALITY			346	528	342	443
SERVICE		397	408	560	364	
SNAIL			577	489	579	346
DUNGHILL		483	475	313	576	
RUDE			390	550		
BLUNT			404	434		
PUNCH		306	527	483	548	485
GERM		319	442	523	464	485
DELIGHT		414	459	510	282	
PUNISH			474	536	344	519
GAVEL			539	383	558	394
RESPONSIBILITY		514	294	532	222	
FLOOR			544	551	559	402
SOCCER			570	521	524	484
EMPTY			479	556	374	480
ORIGINATOR	448		365	409	491	
APARTMENT		522	556	491	575	490
BASS			544	540	547	421
FAMILY		280	577	607	525	
DIRT	644		547	571	564	482
APRICOT		386	591	428	638	
PUNCTUAL			368	440		
SPIDER			597	526	607	392
BASE		369	436	520	441	398
MAROON			503	492	486	394
SWORD		342	597	444	577	387
NIGHT		222	607	636	496	533
OSTRICH				358		
BALLOT		539	437	453	455	
FUSSY			400	441		
PAID			429	577	386	487
FRANC			426	388	479	339
ENVIOUS			361	470		
WISE			412	533	268	515
MORTGAGE			358	506	422	413
EMERGENCY	628	381	487	558	334	
PIERCED			475	469		
METHYLENE		681	405	323	558	
GLOOM			429	475	399	450
HEREDITY	564		383	507	330	
LOGICAL			295	539		
TOPIC		483	364	539	366	
TRAIL		386	525	508	511	466
REGULAR			320	580		
ABDUCTION	480		463	413	337	390
SAXOPHONE		519	602	453	624	424
EMERGENCE			387	459	346	350
STOLE			441	549	342	459
KICK		228	551	563	485	
CLIFF		322	599	479	591	
A			217	632	201	260
ISLANDER	548		497	429	526	413
CONSTANT			290	531		
ALCOHOL	608		598	578	618	535
BEGGAR	650	364	593	435	533	472
INTIMATE	513		495	508	281	474
COUNTRY		329	539	592	465	595
JEEP			659	564	622	477
SOMETIMES			259	593		
PEAR			590	567	634	494
HEAD		181	593	611	603	505
CARPET			538	508	581	403
CIGARETTE			645	573	607	461
PEAL			433	451	402	381
DONE			346	567	271	448
LIVELY			429	582		
EPISTLE	563		437	287	501	
ECCENTRICITY	404		401	358	283	
GALLON			525	519	488	394
COLD		183	531	626	457	539
DESCRIBE			315	610		
RING		208	601	589	593	516
POPULATION		469	391	543	406	
MOUNTAIN		283	629	574	616	573
FOOLISH			313	544	244	471
MARCH		269	497	539	440	436
CONVENT			559	458	537	397
THIRSTY			482	602	451	443
HAILSTONE			562	448	576	324
DENTIST			622	563	607	446
WHITENESS		353	575	412	384	
CURFEW			471	475	426	425
QUEST	520		460	413	316	
EIGHT		211	501	613	368	365
DROPPER			433	467	492	343
CORRIDOR		353	553	579	568	
GLEAM		403	511	456	391	
LEGHORN		625	262	223	472	
VELOCITY	572		417	436	352	
COURTEOUS			387	515	364	467
SCREAM		275	589	522	479	
FUNCTION		511	294	518	343	
COMPATRIOT		572	405	331	441	
SUNSHINE		206	655	627	527	
END			462	592	320	498
OBSERVATION		539	345	500	326	
RAFT				483		
THANE		642	251	231	381	
PREPARATION		494	313	532	338	
LISTLESS			359	358		
MARE			529	460	549	426
COWARDLY			378	495	245	432
TRIBUTE	552		386	420	339	
JARGON			386	413	352	384
THEORETICAL			334	487	264	357
MOON			585	585	581	442
LAGAN			190	111	246	135
NERVE		480	486	554	488	439
LEAF			608	556	593	437
LEAD		400	488	526	543	400
INTENTION		481	286	525	285	
LEAK		336	545	514	472	
ILLITERACY		578	348	413	252	
SAPPHIRE			560	380	572	377
LEAN			472	549	395	477
AGREEMENT	448		367	541	327	
LEAL			280	129	266	188
DETONATION	548		443	339	408	334
STRICT			383	551		
MUTILATION		574	502	363	452	
MOSQUITO			612	512	595	422
FLIPPANT			361	341		
MINISTER		342	584	500	563	487
HEAR			425	602	394	461
YELL			501	509	439	452
KID			525	559	536	497
BRIGAND		589	332	270	464	
AMMONIA			536	524	563	343
DISTRACTION	412		359	509	289	
EXTRAVAGANT			417	484	343	456
KERNEL			542	477	559	368
SCORPION	624		596	342	590	
MISCHIEF	544		422	413	325	
SUFFIX			254	444	318	258
SENTIMENT	488	514	365	471	258	
ZOOLOGIST		583	470	472	525	
UNKNOWN		406	297	548	222	
CRANBERRY			649	483	596	393
TRAVELLER		364	491	494	492	
POLITE			393	539	342	438
KINSMAN			436	309		
PORE			447	437	492	339
SUPERFLUITY		647	232	249	237	
RECENT			298	513		
MODERNIST		614	294	278	356	
RECTOR		561	494	448	517	
PORTRAIT	552		565	427	570	
PLATTER			576	478	593	390
IMPULSIVE			376	489		
INFIRMARY	665		546	437	557	
FEATHER				485		
INCREDULITY		656	297	351	237	
ANTIQUE		439	549	484	492	405
PAINT			567	551	577	402
CHORAL			490	411	460	337
FINANCE		522	405	515	371	
HOUR	556		408	608	375	492
COLUMN		436	491	519	520	
PRAY			444	528	372	403
FANCY			384	537		
SEX		450	584	617	512	613
INCREASE		419	356	590	315	
BRAIN	680	347	572	580	556	494
SEE			379	625	352	525
LABOUR		506	424	559	406	
LYE			372	414	515	318
SEA			606	537	596	529
LIGHT			542	575	550	533
WORLD	688		560	607	532	561
DRESSER			556	526	560	385
ACCUMULATION		539	354	451	285	
PRESENT	613		481	569	389	
BUSYBODY	550		510	393	463	
YOU			400	632	370	432
PISTON			526	409	586	
RAISED			376	545		
CONNOISSEUR	428		513	354	483	
SMELT			473	444	475	336
BRUTALITY	506		489	454	344	
MAIDEN	504	429	554	374	545	
TUMBLE		350	461	490	433	459
GLACIER			580	409	590	
PUZZLE		320	510	486	449	
PRELIMINARY			254	409		
PROFESSION	544		406	543	374	
CART		258	597	454	576	
SYMMETRICAL			456	440		
SUBMARINE		381	588	450	583	403
DAYLIGHT	580	311	575	547	492	
LETTER	596	256	595	610	577	433
CORKSCREW		419	580	445	614	
GRACEFUL			483	513	321	462
DAWN		350	586	507	501	452
DUNGEON			579	428	562	430
HAMMER	692	278	618	515	605	435
WHIP		397	579	476	570	454
CARE			383	563	342	455
LISP		486	464	409	429	
SERIOUS			376	593		
TOMAHAWK	644		619	366	586	
AMPLIFIER	596		559	474	564	
STANZA		617	437	385	456	
SUPPOSITION		619	270	396	280	
ADJECTIVE			394	515	316	392
IMPUNITY		664	183	254	242	
BEVERAGE	658		565	566	526	
CHINA			597	507	578	474
BRANCH		303	548	529	583	
MAZE		414	555	434	528	408
GOSPEL		444	440	437	403	
SHEEPSKIN	644		566	428	600	382
HARVEST		322	562	466	535	
CONCURRENCE		644	256	314	272	
CHINK		458	429	393	462	
WOMB			529	508	538	464
IMPROVE			307	578		
DO			247	609	276	325
YOUNGER			391	575	322	461
LOOSE			397	594		
DIGNITY		522	413	454	280	
VALOR			371	432	312	387
WEAR			328	536	360	402
BARGAIN		394	505	552	399	
YELLOW			598	555	537	433
MULE	612	339	608	455	592	408
HADDOCK		389	532	475	636	
OUTSIDE			419	607		
CONTACT			449	543	456	408
SALEP			211		287	174
NIGHTINGALE		419	551	375	621	
TUNIC		406	508	373	563	355
BASIN		250	542	504	602	405
ALERT			428	528	400	430
ZIPPER			632	556	599	402
INSIDE			371	611		
BOTH			298	598	322	320
BOISTEROUS			404	368		
ACIDITY		622	432	399	384	
INQUISITIVE			354	413		
PARLIAMENT		508	475	511	456	
APATHY			376	472	364	377
QUESTION		314	398	588	387	423
JUICE		250	593	567	599	410
CALMNESS		453	437	452	315	
FARTHER			343	539	326	368
ELEPHANT	688	222	616	459	628	440
WIGGLE		350	491	388	409	
DESTRUCTIVE			426	543		
HUMOROUS			441	550		
SPONGE			577	538	597	387
DECORATE			508	489	423	400
VINEGAR			562	468	645	361
RULE			415	534	286	442
LIAR		308	425	534	409	428
HARPOON			531	423	592	356
COPE			344	516	347	423
BEAUTIFUL			532	609	393	617
INTO			259	584	306	258
BLESSING	619	392	422	483	277	
ZERO			483	569	341	411
STOMACH			551	547	617	457
HEIGHT		294	472	590	376	
POCKET		228	558	590	578	413
WRUNG			352	383	361	315
RECOMMEND			313	529	278	377
GOT			286	565	252	352
EXTENSIVE			307	468		
INTEMPERANCE		651	262	236	248	
DEITY		622	299	304	305	
STRAND			431	500	442	419
CITY			605	616	554	560
COMPLICATION		528	289	480	323	
CONCEPT	376		258	532	264	
DWELLER	509		448	432	516	
ANNEX		536	435	390	464	
CORPSE	652		614	406	587	
AFFIRM			281	444		
HYBRID			370	358	344	303
DISPARAGEMENT		680	194	242	257	
GRIEF	632	450	480	505	303	489
CARRIAGE		367	529	436	576	
SKATE			563	534	562	413
BUREAU		461	497	395	547	
ADULT			526	590	492	543
MYTH			359	514	334	420
GORILLA			634	554	620	469
USED			344	567	315	363
HORSEHAIR	620		549	338	581	
CITE			331	366	337	280
HARMONY			423	534	372	449
HAREM			523	377	518	413
LOGOS			288	140	299	187
WE			389	614	270	427
KNITTING		286	578	501	583	
VOLUNTARY			327	558	309	427
PUMMEL			308	287	387	290
OBOE			471	325	586	374
BELLE			401	341	388	362
BLEACH			510	549	544	387
EMISSION			416	446	397	381
DISTORTION			428	462	365	415
THOUGHT	532	347	348	603	274	495
FLIGHTY			347	341		
BARB		528	448	302	527	
BARE			487	521	399	453
BARD	480		406	224	395	249
EXTENT		489	248	510	267	
PRAYER	663	269	492	507	381	441
VITRIOL		656	294	235	472	
BARK			539	518	563	433
SOUTH			476	540	347	434
BARN		289	589	466	614	
BUSY			403	600	329	385
GLUT		550	334	353	394	
LIMOUSINE			595	505	624	505
FRAME		394	508	494	562	
FUZZY			519	482	450	438
ARID			433	418	399	385
PRINCESS			547	502	568	428
BUSH		256	549	532	585	382
IMPORTANT			341	624		
PRETTY			520	584	341	548
TEMPT			437	495	283	443
PERSECUTION		575	416	423	300	
ENTHUSIASM		522	464	506	266	
HEDGE		306	583	487	615	
RIB			586	536	599	434
IOTA			322	339	275	316
ENCEPHALON	250		277		472	
DWELLING		444	534	374	523	
RISK		397	405	517	290	
LEVEL			385	504	422	403
WEAKNESS		389	386	525	257	
NATIONAL			400	556		
PLEAD			393	438		
HAD			296	570	253	323
DECORATION	584		526	517	507	
HAY		297	597	486	623	
REPRESENTATIVE		531	380	511	434	
KNOCKER				352		
PASS			479	535	385	440
LEVER			515	518	572	411
HAS			271	585	267	283
BEGAN			251	593		
SILVER		317	582	528	564	431
TOWN			553	589	556	565
SCHOOL		228	599	582	573	517
ANTICIPATION		572	435	492	288	
ACTUAL			259	589		
GULLET			409	278	537	315
FOREARM		436	529	474	608	
SWIFT			460	507	338	493
AFTER			217	575	242	302
VAULT			550	445	550	395
ADMIRE			390	531	296	457
CULTURE			339	523	351	437
MATERNITY		583	502	389	341	
LANDSCAPE			608	503	542	
MATURE			363	570		
VIOLIN			606	468	626	479
REED		369	520	430	564	344
AMPERE			304	272	327	231
SLUGGISH			382	481	343	385
FLUTTER		463	459	394	386	
YEW		483	467	321	598	
ROAST				536		
MEN		236	587	621	586	616
HELP		222	464	594	320	503
TOBACCO		366	601	558	609	444
BELL			610	543	620	450
MARRY			523	557	362	461
CITATION	506		386	306	425	
SPIRE	472		541	309	576	
TORTOISE			539	415	602	403
FAMOUS			376	556		
INCIDENT	416	458	344	497	340	
STEPPE			427	324	479	252
DESIGN		403	407	538	444	
BOARD	692		592	546	565	389
TESTIMONY			377	508	381	390
HELL		314	519	564	355	487
WASTE		354	448	577	430	489
TEMPERAMENTAL			393	414		
BELT			494	550	602	398
CLASSIC				466		
EAGLE			601	465	616	457
POLITICIAN		511	507	556	494	
ROOM		244	545	627	566	495
ENCHANTER		533	378	320	394	
DIMPLE			518	442	547	317
CELLO				295		
SCHISM			361	231		
BIER			294	162	411	242
IMPRINT		542	332	439	421	
FOOD			539	579	597	588
LIMITED			281	511		
SUBSECTION		631	283	330	368	
LIGHTER			458	538	400	400
CARRY			393	554	364	436
ROOT			565	554	558	443
TEMPEST	696		514	375	460	390
FOOL			436	551	354	468
AVAILABLE			285	566		
FOND			363	556		
MINERAL		469	432	454	527	
FOR			216	603	245	244
CLUB			522	533	509	457
ODOUR		461	556	454	472	
WAND		272	513	381	570	
TRIUMPHANT			426	473		
FOX		283	607	501	605	430
LIBERTY		528	392	467	302	457
ECHO		356	556	478	415	
FOE		453	435	344	424	
MAGNITUDE	568		303	431	333	
HUMANKIND		514	426	351	426	
INDUCE			300	448		
